StartTimestamp, EventType, Str(g), Duration(s), Interval(s), IsLegDown(bool)
2016-03-19 14:50:20.222, R, 0.00, 0.000, 0.000, true
2016-03-19 14:50:20.333, P, 6.00, 3.519, inf, true
2016-03-19 14:50:24.132, R, 0.00, 0.000, 0.000, true
2016-03-19 14:50:24.332, R, 0.00, 0.000, 0.000, true
2016-03-19 14:50:25.432, R, 0.00, 0.000, 0.000, true
2016-03-19 14:50:26.432, R, 0.00, 0.000, 0.000, true
2016-03-19 14:50:27.432, R, 0.00, 0.000, 0.000, true
2016-03-19 14:50:28.132, R, 0.00, 0.000, 0.000, true
2016-03-19 14:50:29.432, R, 0.00, 0.000, 0.000, true
2016-03-19 14:50:30.122, R, 0.00, 0.000, 0.000, true
2016-03-19 14:50:31.222, P, 6.60, 2.900, 7.390, true
